ID,boxes,classes
02790,430;1628;633;1002|1546;1563;640;1036|706;1769;306;292,1|1|1
03138,,
00336,,
05440,881;7;1253;1264|2022;1629;274;250|140;1583;211;215|404;664;396;274|2317;793;443;239,1|1|1|1|1
02174,,
00824,436;313;114;143|1175;301;118;114,1|1
04085,515;223;342;389|1348;198;353;540,1|1
04282,823;507;241;203|424;963;469;360|1315;619;137;157|141;487;206;201,1|1|1|1
00164,,
01459,,
00853,936;1751;410;583,1
07172,,
03843,,
04651,667;443;327;258|1490;528;300;255,1|1
01641,,
05999,,
01284,,
02065,1102;1037;274;267,1
03211,,
04625,,
03962,,
01267,,
03480,,
00289,,
07152,,
02763,577;314;310;770,1
07132,,
06306,,
02372,1068;1491;495;534,1
00914,1562;23;91;552,1
00978,1096;717;155;125|454;43;485;590|1361;22;305;416,1|1|1
02335,,
03928,,
00998,,
00266,111;2245;848;1388|3447;1797;1848;572,1|1
06294,,
04924,220;1050;303;226|1518;1086;203;234|719;1459;355;497,1|1|1
05927,,
01987,,
00996,,
02045,917;6;632;974,1
05051,,
04500,100;999;541;2069,1
00440,437;1466;621;1004|1481;1403;702;931|852;159;329;999|1196;601;235;188|839;1804;442;696|2002;1450;122;210|2162;861;260;197|268;1547;123;135|478;958;251;213,1|1|1|1|1|1|1|1|1
07815,1480;509;793;389,1
00410,,
07062,111;-11;565;1520,1
05120,694;792;450;1315,1
07697,1185;295;302;398|798;1755;143;185|663;513;97;152,1|1|1
06552,1227;1877;638;703,1
00564,,
06324,752;100;552;368|268;876;1838;324|1957;757;2018;394,1|1|1
05738,,
04552,530;39;1278;995|232;1762;917;1752|1927;1404;200;246|77;1545;179;313,1|1|1|1
04368,518;522;508;493|2122;586;329;268,1|1
05204,,
00848,1010;29;505;283,1
02108,,
04779,,
03118,724;1332;361;441|1476;540;163;155|1545;966;175;155|167;944;195;159,1|1|1|1
03512,1105;601;136;149|1789;571;179;155,1|1
00911,,
04227,,
00595,,
01460,,
06535,,
07140,222;754;814;854|760;1702;261;286|1420;1678;206;197|1669;691;656;587|1365;144;200;201|793;341;213;186,1|1|1|1|1|1
04536,1083;538;328;272|516;70;450;492|1373;84;375;325,1|1|1
06169,,
05002,455;82;492;287,1
06282,10;489;728;293|771;1438;550;586|1833;547;692;240,1|1|1
00163,1958;1146;339;409,1
06127,,
03131,1012;408;349;398|171;435;259;311,1|1
01490,1404;454;181;181|395;224;908;352|2319;365;875;411|487;1477;635;1931,1|1|1|1
04075,665;185;1085;1467,1
06143,1511;2086;716;466,1
04011,521;147;555;654,1
07859,,
02577,699;60;322;262,1
03431,,
00815,272;236;855;1313,1
06772,,
04999,611;157;476;346,1
01749,754;1047;615;497|276;964;181;177|1428;896;135;185|1409;362;216;230,1|1|1|1
02122,,
00069,1063;713;320;145|424;916;579;500|1381;1096;591;790|284;323;207;394|995;161;181;293,1|1|1|1|1
05479,2414;375;343;216,1
01366,,
05513,1932;528;860;486,1
04077,537;1740;656;169|1394;1870;677;923,1|1
06351,,
00156,,
06901,460;57;539;417|1423;47;596;487,1|1
02424,,
02383,2004;1147;470;535,1
05262,,
02817,728;1362;722;792,1
06092,,
01136,,
00421,,
07983,156;946;585;305|1761;1151;247;178|260;1560;738;2017,1|1|1
07181,576;92;974;872|1577;68;757;620,1|1
03235,355;705;107;138,1
06040,1096;1226;319;217,1
02018,,
03072,,
03273,1712;977;222;239,1
02025,527;63;216;75,1
05795,1151;265;140;140,1
05879,,
02127,722;11;452;1031,1
05940,661;119;260;304|1265;186;356;312,1|1
05471,2033;1666;817;660,1
01401,609;1353;200;228|2349;1341;208;220|573;1641;868;2132,1|1|1
05030,132;161;1319;2323|1162;1808;626;529,1|1
00656,,
02425,1772;62;274;218|931;62;283;310,1|1
05510,,
01314,,
00125,907;1279;111;95|1898;1272;77;87,1|1
04209,,
04346,,
00577,,
04861,1313;1823;590;733|2346;1524;958;248,1|1
07521,962;1613;377;220,1
04404,,
02253,,
07782,1519;105;321;194,1
01847,1519;1248;731;461,1
06760,563;730;728;491,1
03232,,
05520,929;138;535;1079,1
05579,224;969;967;2437,1
01766,,
04829,,
03249,,
07243,,
02482,,
05601,795;238;948;699|1506;308;228;611|1306;1969;177;231|725;885;699;693,1|1|1|1
03032,795;548;97;132,1
02149,209;936;2117;1733|361;535;175;171,1|1
03642,,
01578,,
04464,,
03481,,
02307,2087;2007;222;190,1
02720,302;919;230;227|2236;1029;227;218|983;1782;646;680,1|1|1
03215,72;328;787;1377,1
03627,,
01113,,
05467,795;1014;1213;213,1
02456,1139;1498;709;660,1
04845,1276;633;360;175,1
07576,,
04245,,
06208,,
06982,499;239;491;1107|613;1576;775;745,1|1
02190,79;1487;328;389,1
04305,432;114;263;202|883;83;328;304,1|1
01841,,
05744,489;16;476;436|1537;13;564;391,1|1
00344,1052;372;198;152,1
03158,,
07210,1066;235;118;96,1
02617,,
05152,,
00404,129;1570;1079;2206,1
03869,1166;1794;471;493|624;869;163;193|2059;856;157;205|2149;654;112;169,1|1|1|1
05837,,
01724,1139;55;1738;692,1
03626,842;804;1046;429|1787;842;977;634|599;1060;305;229,1|1|1
05550,,
02947,,
00702,,
04720,,
07594,1510;63;422;293,1
01431,,
07757,537;28;437;474|1549;76;401;440,1|1
03491,500;44;842;682|1685;97;816;562,1|1
05461,1290;889;318;120|736;66;594;335|1583;126;314;493,1|1|1
00102,,
03929,1123;35;323;1138,1
07533,,
05181,982;124;111;106|1130;448;148;114|1270;809;135;96,1|1|1
07447,558;79;419;498|1526;29;493;451,1|1
03805,431;509;196;152|628;743;202;137,1|1
00762,,
06412,1505;55;414;216,1
05679,829;14;558;1278,1
04059,1080;198;1706;695|554;1757;198;638|481;151;223;318,1|1|1
07170,,
07556,1162;1308;467;488|1884;1168;255;254|698;1249;265;251|405;848;289;279,1|1|1|1
04402,,
01728,,
06904,,
03139,631;621;211;256,1
02184,,
00514,1030;1855;673;459,1
03790,1009;111;399;145,1
07771,263;1370;200;195|1020;1704;699;690|2009;2054;195;280|2157;1300;225;268,1|1|1|1
06634,,
06769,1352;85;567;585|328;152;585;643|907;1852;339;535,1|1|1
07414,,
04729,,
06777,,
04076,,
04195,2593;1177;199;227|505;1158;175;203|2971;939;175;203|1563;2275;382;533,1|1|1|1
02035,,
01917,1123;1748;579;492,1
05636,,
05883,,
05833,1626;16;573;366|741;83;512;398|980;290;225;206|1609;253;312;232,1|1|1|1
03400,,
04216,1063;766;769;1086,1
01410,,
02827,,
02079,1537;229;1228;394|655;557;1762;809,1|1
03503,311;1188;140;151|1335;1208;146;179|659;1372;375;323,1|1|1
05769,,
05670,,
07276,,
06027,,
04858,,
06467,1641;466;416;439,1
03025,,
00929,1058;98;390;341|1898;125;367;311,1|1
03334,,
02583,,
01341,1048;1349;465;459|1806;526;396;188|384;565;363;223,1|1|1
01173,,
03322,1912;1242;139;122,1
07031,1912;1328;272;319|916;126;458;400|1781;218;451;536,1|1|1
07854,,
02197,1244;1098;736;566,1
07852,1289;1540;322;245,1
05523,,
02709,,
02368,793;88;159;428,1
06687,,
07616,555;923;1738;1632,1
02543,,
05512,,
02418,,
02797,,
07583,1249;371;679;541,1
00116,1385;9;365;343|504;64;265;318,1|1
02155,,
04226,,
06646,,
00157,,
04801,1026;400;299;316|2070;347;493;268,1|1
04795,992;446;302;535|715;2049;342;596,1|1
05584,2151;480;179;255|2241;883;199;193|506;900;179;241|496;1368;763;1861,1|1|1|1
02259,907;733;159;127|903;1087;95;95,1|1
06977,937;242;797;1166|635;1531;470;1889|2257;467;449;299,1|1|1
05804,,
02574,681;474;438;462|1309;488;465;567,1|1
07763,262;1184;1187;2201,1
00686,,
02427,,
01295,,
00049,,
03764,978;97;762;1189|1180;1678;639;846,1|1
00073,,
07420,,
07407,1066;291;1807;896,1
02999,1789;1006;165;209,1
06422,1164;1413;243;147,1
00062,627;276;116;109,1
01799,,
04021,,
02766,,
02485,,
00029,,
00800,,
01430,,
05341,,
05812,1330;1491;636;802,1
00659,951;19;362;1219,1
01036,,
05468,2637;1757;319;333,1
00630,,
03108,,
03320,884;771;246;154,1
05093,563;298;596;1023|778;1776;631;664|121;651;163;234|1861;664;125;199|118;917;115;234|70;1298;212;227|1945;1324;211;195|1829;872;176;218,1|1|1|1|1|1|1|1
00059,972;-12;667;920,1
05284,545;1787;542;131|1182;1762;237;159|1948;2072;536;419,1|1|1
05678,,
00046,668;124;503;361|1351;161;376;329,1|1
07506,,
03613,1425;1287;253;186,1
07390,,
03767,,
00744,,
00472,1729;117;383;155|1173;371;107;148,1|1
00615,,
07523,,
05564,1603;403;247;269|313;457;157;215|66;950;936;1891,1|1|1
05981,,
02324,569;1531;732;2046,1
04967,,
03099,,
05779,810;1556;503;683,1
00113,,
03182,,
04777,,
01869,,
02423,757;798;167;295|2308;696;190;252|731;1569;784;1974,1|1|1
06979,447;7;598;676|1347;21;617;584|1098;613;307;151|1053;1136;139;193,1|1|1|1
00212,751;14;1064;1475,1
01577,,
01545,989;633;382;199,1
04084,,
01013,328;995;209;173|1898;1011;193;193|2256;515;124;143|679;399;222;168|1651;369;234;189,1|1|1|1|1
07141,424;934;164;172|1108;885;172;160,1|1
04191,637;1600;514;1807|633;64;487;1508|613;735;242;259|2244;687;337;238|814;1409;163;173|2104;1453;153;204,1|1|1|1|1|1
02313,1791;2719;328;298|799;2509;518;368,1|1
05154,,
05198,,
01345,1954;819;336;256,1
03443,,
05904,71;166;617;2048,1
05756,723;1130;359;214|2012;1060;344;302|1380;2226;333;442,1|1|1
04912,,
07553,63;563;1093;1616|139;89;463;322,1|1
01293,681;19;286;677,1
06998,,
01205,,
00524,,
04212,1985;1909;140;169,1
05117,,
07272,1009;732;304;283,1
06658,592;12;285;249|1366;15;277;237,1|1
06317,,
00559,,
05810,1571;185;353;291|736;274;282;321|1021;1726;668;636,1|1|1
03809,734;409;98;133|1769;1536;987;534,1|1
02027,,
04413,847;1739;576;526,1
03865,,
07679,1256;35;273;268,1
01138,461;344;360;390|1313;359;338;249,1|1
03803,,
00264,1213;53;385;297,1
03514,495;39;698;727,1
03760,104;105;561;437|1010;37;692;515,1|1
07085,2313;1251;161;161,1
02333,,
02674,551;56;461;476|170;1615;1074;783|1922;1950;718;699,1|1|1
00920,475;120;354;339,1
01066,910;242;405;260,1
02991,1017;186;556;1077|234;867;305;294|2347;890;298;253|512;1482;746;1992,1|1|1|1
04300,,
05214,884;1748;678;574,1
07047,,
06017,,
02101,,
04449,,
01894,,
07903,,
07602,960;1865;849;681,1
02527,,
02822,883;67;484;309|1770;40;533;279,1|1
04337,1436;729;402;247|1264;35;185;238|314;65;142;497|939;190;125;129|921;451;139;133|933;822;129;159|940;1310;114;115,1|1|1|1|1|1|1
02634,841;1453;450;866|67;1408;588;358,1|1
06358,,
02565,,
03261,,
00648,497;165;517;535|1357;174;460;392,1|1
04336,,
05149,,
02277,,
06951,936;297;1477;243,1
07834,,
01326,1648;431;383;332,1
00713,1940;1510;295;316,1
00132,,
02455,1054;1721;684;691,1
03880,,
01883,,
01389,,
07548,,
06446,1459;576;372;204,1
05890,1668;470;151;173|874;778;150;141|1329;2097;141;125,1|1|1
00533,,
07380,,
06532,1850;316;877;251|1008;366;966;219,1|1
03125,,
03001,1845;82;624;412|844;152;481;485,1|1
01162,,
04556,1136;1815;560;592,1
05395,957;29;637;995|1353;1268;479;334,1|1
00099,614;778;244;231|1133;1548;451;401|2111;713;336;257,1|1|1
03421,2029;907;285;192|139;907;266;230|903;2077;481;512,1|1|1
01387,,
04078,,
05414,595;257;679;2095|1180;22;144;175|1910;113;191;188,1|1|1
06292,533;680;1100;1679,1
06913,,
04043,576;170;766;887,1
02823,402;8;1247;1528,1
04425,,
06051,,
01202,,
03834,,
04537,772;36;474;365|1531;52;445;381,1|1
06378,,
06275,828;310;240;312,1
02615,1198;17;1217;986|727;622;343;246|2318;680;346;269|772;1333;228;237|2286;1465;243;215|1361;1743;519;522,1|1|1|1|1|1
00525,1245;361;327;181|1317;813;235;202|1349;1290;159;176|1328;1644;202;207,1|1|1|1
00682,,
06404,,
03980,,
02352,650;1742;647;736|1748;1375;210;250|86;836;224;247|2089;722;281;184,1|1|1|1
01028,,
05500,2227;407;241;213|768;1150;185;257|595;501;226;245|1769;1392;564;508,1|1|1|1
00771,,
02401,1284;1569;160;176|1316;2347;151;215,1|1
04844,,
00096,285;956;344;700|2063;860;189;379,1|1
05059,,
03620,,
05504,,
05193,1327;658;194;93|1566;294;416;350,1|1
03725,,
06264,769;19;621;1306|219;785;516;386|2129;978;316;198|1204;1974;219;176,1|1|1|1
00643,755;202;1383;1811,1
00011,1039;74;1214;209,1
07964,897;553;247;810|381;1437;711;2075|1127;2167;122;477,1|1|1
06421,,
03639,,
06701,506;230;851;228,1
07469,807;4;312;352,1
06837,904;86;2094;1167,1
06379,,
05726,891;20;158;296|613;285;130;125,1|1
06545,384;14;107;111|1201;6;90;106,1|1
06748,,
00280,123;818;869;778|667;1319;213;207|673;1052;271;225,1|1|1
07719,,
00501,696;20;351;300|1797;21;471;343,1|1
04927,662;62;365;194|1523;9;299;167,1|1
00919,,
06674,329;74;793;491|1058;90;988;597,1|1
05768,901;1580;711;603|1138;793;143;263,1|1
00672,,
02584,,
05173,,
02026,,
05583,,
00359,,
05856,933;1290;679;401,1
06227,1398;766;249;457,1
05900,242;39;999;1297,1
05845,,
01880,,
04238,,
04028,433;19;334;256|1423;72;249;273,1|1
02874,977;262;167;162,1
01051,,
00135,900;108;236;300|383;104;257;305,1|1
07581,,
03198,564;907;167;221|2238;891;186;193|493;1381;743;1986,1|1|1
07350,,
07512,679;732;503;1454|1022;1707;447;360,1|1
04840,1405;186;162;179|2468;792;128;162|741;809;118;156|707;1469;166;190|2414;1438;160;162|680;1699;569;1964,1|1|1|1|1|1
00219,202;472;208;155|738;1341;505;492|1815;679;516;298,1|1|1
04108,727;209;318;338,1
04231,,
00198,,
01056,,
03533,,
05591,,
03033,,
06377,1117;1961;352;190,1
06007,1492;73;348;281,1
02646,915;1623;382;513|183;1234;219;173|1905;1193;270;196,1|1|1
07075,1557;44;587;194|722;35;304;244,1|1
01661,641;108;520;383|1525;116;436;300,1|1
04496,,
02764,629;1545;675;661,1
04870,,
06590,755;37;245;249|1457;18;56;190,1|1
02167,343;29;289;189|1036;20;335;175,1|1
03423,,
05386,916;326;568;443|1748;358;465;536|1522;1831;196;206|1514;2397;240;178|1680;2744;255;156,1|1|1|1|1
07725,1388;1657;621;569,1
06073,157;668;204;194|227;975;157;178|7;1104;805;288|260;1275;400;793|1105;1328;370;704|1554;1052;192;220|1692;769;185;187|1739;1190;794;302,1|1|1|1|1|1|1|1
04177,1178;329;401;292|1790;387;298;237|1499;909;147;173|1467;1309;144;166,1|1|1|1
00805,,
07902,204;756;1033;2077,1
02662,809;536;767;386,1
04173,,
07871,,
06922,323;412;375;247,1
05751,,
04180,1050;971;122;208,1
04424,994;1658;635;616,1
02897,,
04357,1353;1786;687;604|2264;719;1015;404|439;823;883;443,1|1|1
00757,,
02145,1141;33;257;288|2033;33;281;344|1608;1016;141;263,1|1|1
00598,,
04000,,
07985,1501;61;368;169,1
01534,,
02971,,
00788,2030;1567;88;112,1
05163,1297;162;614;159|2350;2188;613;289|71;2117;724;293,1|1|1
05138,,
01708,57;836;229;992,1
04626,530;248;217;228|1158;177;330;355,1|1
07451,,
06063,476;371;690;1178|887;2003;450;401|1211;1234;212;206,1|1|1
01454,1553;1566;501;812,1
01891,,
07915,,
00031,,
03439,,
02736,,
03667,43;538;810;1321,1
07542,,
07423,,
03270,,
00082,1604;994;268;478,1
05589,,
04655,303;354;484;1500,1
03507,,
02984,,
05983,1793;32;627;282,1
05859,,
06953,1302;97;407;299,1
06544,,
04359,1379;854;292;341|2799;3813;363;271|1130;2360;336;217|8;2127;1073;992|2557;684;386;251,1|1|1|1|1
07904,,
03970,446;101;383;610|1741;1338;124;250|1598;25;492;524,1|1|1
01890,1127;76;337;250|1902;22;368;311|2114;1290;154;153,1|1|1
06863,512;175;228;365,1
03390,,
05443,1738;3;341;303,1
07622,,
03765,353;651;392;279|927;1846;791;625|2174;777;415;334,1|1|1
06432,,
07354,1221;7;318;284,1
05973,243;2034;286;279,1
05754,1099;18;740;1355,1
00068,1206;207;241;254|449;198;329;212,1|1
01666,,
06503,,
07972,1584;227;383;361,1
05276,938;1670;407;183,1
06474,1190;167;363;186,1
00876,,
01122,,
00411,484;1507;1358;1629,1
00380,1864;769;276;260|399;540;245;280|899;1177;278;459,1|1|1
03181,732;105;839;979,1
07619,,
03416,,
02255,990;1438;707;1049,1
07654,330;868;1451;573|2242;830;1662;445,1|1
04650,760;355;732;497|1727;193;377;439,1|1
07500,1518;1217;130;251|1879;1020;252;197|1339;263;110;234,1|1|1
02846,688;1602;217;193|795;297;142;174|1351;891;379;495,1|1|1
03784,1013;1339;682;548|1544;346;341;354,1|1
03802,,
02289,769;1618;461;437,1
00727,1242;225;432;263,1
00320,746;44;335;472|1610;54;440;365,1|1
04867,,
01881,1440;1726;714;679|2357;464;174;235,1|1
06548,885;836;274;253,1
01311,1915;426;596;220|896;317;384;140,1|1
05666,,
07239,1425;1090;459;524,1
05439,,
05519,307;429;318;315|1785;388;336;434|908;787;457;350,1|1|1
06556,501;847;520;1226,1
07195,,
02691,,
04873,235;49;2201;727,1
06054,,
04703,1359;1727;495;481,1
06976,,
03295,,
06938,395;11;472;498|1482;30;463;387,1|1
04978,,
04272,,
02121,,
07945,,
07368,,
00299,697;48;454;375|1024;1209;286;313,1|1
06427,,
01470,,
00016,1306;1994;720;632|639;565;969;344|2370;716;871;368,1|1|1
05886,,
01975,1503;1409;181;386,1
03953,,
02477,,
00619,39;648;520;157|1258;858;307;185,1|1
01660,1560;151;415;144,1
03160,,
02647,725;1242;676;882|1801;919;204;246,1|1
00185,1284;340;199;469,1
03873,1027;1192;282;569|1037;2080;288;235|1639;2043;252;123,1|1|1
02099,,
07912,,
05695,,
00990,,
07592,801;1177;577;653,1
06604,954;4;937;969,1
01309,,
05441,1629;1547;272;265,1
01622,437;87;510;230,1
02550,,
00492,225;449;948;679|1533;420;1252;503,1|1
04760,,
01452,,
02956,1920;1791;159;267|655;413;1521;567,1|1
07360,2347;1675;123;205|880;1596;119;245|761;1473;76;79|1208;1327;80;76|2446;1410;66;89|1919;1390;63;70,1|1|1|1|1|1
04624,,
02884,1615;889;406;381,1
06038,,
04572,1846;1260;230;251,1
05063,2437;1111;169;210,1
03105,,
04154,2144;767;2260;348|228;619;2400;504,1|1
06490,,
05502,,
01768,,
02254,,
00221,,
00080,,
06067,336;1177;132;145|843;412;89;145|849;666;124;137|851;1156;143;169|883;1641;169;175|1410;1163;136;121,1|1|1|1|1|1
05949,659;255;290;494|1632;222;394;341,1|1
02728,,
03645,,
05950,702;186;112;110|710;601;88;108|690;1033;151;122|684;1557;139;119|539;1766;135;178,1|1|1|1|1
07509,,
04706,,
01074,,
06662,686;286;440;631,1
07498,,
01208,,
04831,,
00160,,
05702,1591;4074;388;310|1596;738;338;333|2521;974;347;518|273;2052;1069;712|2993;3241;407;935,1|1|1|1|1
02512,569;856;727;1200,1
02120,,
07273,852;73;669;1338|538;1200;183;211|2232;1043;333;266|1214;1200;519;454|1656;1636;759;1002,1|1|1|1|1
00166,1032;111;317;179|217;1800;328;1511,1|1
07412,185;654;878;567|1363;754;997;481,1|1
07667,,
02319,,
05942,614;18;538;436|1440;70;449;241,1|1
00974,473;423;194;184|993;388;196;220,1|1
07008,,
00034,772;1888;473;515,1
02116,819;192;376;434,1
06832,1441;1679;370;324,1
05538,,
02754,677;1229;515;539,1
07382,,
00258,,
04814,506;48;392;201|1385;76;575;286,1|1
03904,115;516;244;200|5;1139;1223;2223,1|1
02356,,
01503,933;101;792;1287,1
02080,943;983;304;173,1
03493,,
02074,,
04063,,
04705,,
07541,,
05156,,
06498,,
03282,1085;212;224;350|1735;198;234;336|1494;448;645;241,1|1|1
01165,,
05033,,
05029,955;164;237;221,1
01620,,
01395,,
07944,,
06717,,
05014,,
01187,,
04741,,
01291,1827;1294;205;153,1
01264,1172;1496;520;483,1
01860,1493;0;245;292|442;24;367;447,1|1
00194,,
05682,,
06557,,
06253,,
02869,,
02168,757;1433;599;547|1723;1044;202;175|340;1020;197;154|1745;618;134;254,1|1|1|1
05345,,
06120,778;490;509;1013,1
05273,,
04484,,
02819,1803;195;602;330,1
04638,393;1326;816;596|1610;1383;791;678|377;686;401;258|2089;771;328;304|1021;1397;693;594,1|1|1|1|1
03086,,
06538,1382;1817;318;205,1
01775,,
06862,,
05759,,
00512,,
01303,,
00246,,
00945,,
06735,,
04122,,
02040,640;1282;325;395|1358;1141;181;175|1566;700;134;144|167;1225;130;203|10;733;160;142,1|1|1|1|1
04853,1049;1369;565;297|775;2359;193;187|1718;2298;125;185|1275;559;405;387|582;559;459;454,1|1|1|1|1
05381,487;1001;224;242|1113;1840;285;498|2002;887;256;181,1|1|1
03899,,
07723,,
01417,842;1523;721;1037|847;60;792;1263,1|1
06720,890;306;252;759,1
04358,,
06180,1267;567;139;135,1
05691,,
04190,,
05240,,
05545,,
00617,786;999;170;181,1
02399,,
07120,741;1645;654;654|1983;1141;249;234,1|1
05050,,
01946,,
05473,,
07247,286;602;167;191|263;1226;147;101|497;1097;398;635|1291;1234;133;119|1342;532;219;305,1|1|1|1|1
06493,979;26;561;558|2041;46;604;569,1|1
06739,735;138;481;487|1634;21;493;493,1|1
00418,807;2279;758;1050,1
07006,858;-13;778;1108|1204;1360;542;464|2141;886;199;261,1|1|1
02834,158;20;469;1155,1
04562,1887;445;1116;534,1
00139,1422;1341;394;201|2410;1775;389;178|1820;307;328;291|1922;1131;344;604,1|1|1|1
06910,772;174;286;265|1423;162;245;247,1|1
02446,,
03433,,
00458,778;17;359;205|1659;14;407;266,1|1
00769,,
01618,,
00596,232;794;870;206,1
04427,,
01450,,
06135,685;564;375;199|1782;615;455;101,1|1
00590,,
00020,1242;239;370;305|656;264;342;265,1|1
02890,,
07703,760;25;380;476|1691;110;423;359,1|1
04276,,
04951,1348;80;330;434,1
02777,1600;2373;784;732|2347;3637;253;348,1|1
02432,810;1269;445;486|79;550;132;139,1|1
00642,,
00302,,
00767,,
07130,,
07063,,
00199,,
05503,459;91;353;1098|1746;1230;570;204|198;1260;517;248|1764;1986;188;136,1|1|1|1
01301,700;84;385;436|1722;50;550;516,1|1
01600,,
01584,764;112;518;1117|939;1464;762;605,1|1
02421,,
06012,344;372;696;161|1354;190;349;271,1|1
04656,,
02328,,
03146,,
06829,659;61;390;945|472;666;96;67|1658;629;178;79|8;1226;929;514|1641;1803;444;535,1|1|1|1|1
04576,,
00248,,
00604,1203;1280;657;708|589;665;308;588|2278;648;367;410,1|1|1
06663,,
00399,,
00655,1017;469;231;144,1
01616,,
05076,,
03966,582;8;306;232|1507;8;306;312,1|1
00463,,
04251,,
06643,812;339;479;333|1505;301;678;335|1374;1771;954;522|296;2046;338;219,1|1|1|1
00666,,
03294,,
05318,1085;2186;596;312,1
02233,,
05079,,
05645,2155;2074;180;227,1
01976,,
00361,,
00328,803;812;492;647,1
00036,765;1282;314;498,1
07405,,
02156,329;182;447;926|259;683;467;481,1|1
00844,,
00989,,
07064,1420;569;659;272,1
03008,,
01412,1065;1163;389;190,1
07057,714;74;197;207|1596;879;522;568|1240;329;161;168|708;1839;228;219|1265;1799;164;182,1|1|1|1|1
03140,,
05011,,
06082,1267;225;1035;397,1
02489,1734;585;673;229,1
04618,,
07591,,
00928,,
02037,,
06958,,
04686,,
05808,,
00037,267;490;745;1164,1
02284,,
02061,1062;82;369;244,1
01998,566;502;1002;311|1210;1912;613;715|2451;732;802;310,1|1|1
01261,1343;1373;708;652|380;1125;268;244|2386;1121;248;376,1|1|1
06326,1461;65;818;565,1
03419,,
03034,,
05126,,
05766,97;1207;569;1696|1502;795;192;269|54;773;207;177|397;78;259;235,1|1|1|1
06562,412;939;257;201|1117;1637;277;501|1991;777;211;168,1|1|1
02882,266;603;1008;601|2154;1637;385;467,1|1
00842,,
04039,103;872;617;1402,1
06175,636;1763;494;1800|1520;700;219;178|609;1327;575;249|2327;1362;575;188,1|1|1|1
04274,534;293;521;504,1
00334,,
04459,1020;307;374;430|1831;248;426;388,1|1
00389,,
05006,909;19;1860;1278,1
06465,,
04369,1168;12;384;1103,1
02672,,
06970,998;196;392;212,1
01372,405;15;165;108,1
00354,,
06219,935;99;363;310,1
01684,,
06781,691;729;539;775,1
01230,440;1297;1167;1830,1
07009,716;1212;360;439|1273;570;288;185|253;582;284;204,1|1|1
00712,,
06763,23;1390;649;1035|1094;1494;625;1082|1951;1881;515;235|847;1942;461;484|13;1033;311;113,1|1|1|1|1
02503,520;1513;612;1896|485;673;134;217|592;1062;189;220|2258;707;179;269|2399;1096;189;200,1|1|1|1|1
01505,,
02682,425;354;710;1676,1
03707,,
06771,447;2;108;217,1
